transaction_id,customer_id,purchase_amount,product_category,transaction_date
8fb76cf0-390b-46ba-91a7-4b6c2d989e39,5141,140.7,Sports,2023-08-27 23:23:02
cfa93d83-317c-4742-8ac2-bd684b2553f2,5634,21.93,Sports,2023-10-30 21:56:08
64565be4-4cbc-485c-80b1-d378bf7dc43e,3735,51.07,Outdoors,2024-02-16 18:04:04
2cb82307-7fe3-4aa9-8ffd-636b144806a4,8754,21.34,Kitchen,2023-07-22 06:25:25
abe8794e-3215-41ef-8eba-2900d1c1fb32,6746,91.19,Sports,2023-07-13 10:53:33
266c2709-0d60-424b-a819-0d0bde05af17,5226,64.35,Electronics,2024-02-20 11:55:51
a16009ff-502c-4251-b4cd-959b3a814e76,4718,27.89,Electronics,2023-09-03 14:37:14
ba19ebec-1530-42fa-998a-059c07a9960c,3801,70.05,Home,2023-08-23 00:48:22
805d3aa1-8ccc-4323-83cc-08759c87b7c4,1260,99.2,Sports,2024-01-12 08:16:52
02a922eb-5e28-45af-aa29-1be8f3de8189,5789,57.47,Clothing,2023-12-22 22:23:53
c731f563-2a16-46b2-9d2e-bc058fdd7df2,2598,174.96,Home,2023-10-12 18:12:42
847984bc-4291-4439-973c-e1b845b2d63f,910,150.0,Books,2023-06-25 13:37:11
cbbe7355-fac3-462b-919b-e0313caec739,2030,32.61,Outdoors,2023-11-21 23:22:47
495594f5-57c3-457c-ad7e-53cfde91b9fd,3467,156.6,Kitchen,2023-11-20 14:09:12
05ebeb22-1038-4ded-acdc-8d0f403714b7,677,123.08,Clothing,2024-01-23 19:29:20
c9c635b7-cd84-494d-b6eb-6ed5bd0d79ee,2811,20.11,Sports,2023-10-20 18:08:15
9b6ad245-192a-49d8-b126-db1a7475f9e3,4459,184.51,Sports,2023-12-16 05:17:09
88383f9a-4763-4389-95ce-d7a47d217aa5,727,96.22,Home,2023-09-09 10:41:30
b0bc024c-85c0-4c24-8c5b-a012398a4c2e,3564,136.48,Sports,2023-04-09 07:01:21
8d0f1759-8fc5-4c9f-ac66-084481488061,3179,165.48,Clothing,2023-09-08 04:32:06
22435195-f232-49a3-bc99-60a05fc14973,8472,187.12,Books,2023-05-18 01:58:01
002bfdde-8df3-412f-ac89-965408cc61fa,6891,197.96,Clothing,2023-09-01 12:56:32
018986e3-17d1-4e88-a5c3-28c09ce0d2f7,4482,146.6,Home,2023-08-19 03:28:04
333450c2-8206-4521-b7f7-cf5bad6197fa,966,160.2,Clothing,2024-01-10 19:29:01
3cf03765-1260-4559-bce9-f6132c2003b6,5055,184.87,Home,2024-02-12 20:33:22
09fa7822-e4bd-4a3a-b520-e07fae002d8c,1896,121.4,Sports,2024-02-20 10:38:42
